review_id,record_type,record_id,source_key,target_id,issue_type,issue_description,priority,assigned_to,status,review_notes,created_at,resolved_at
rev_paalam_arthur_abdul_source,scrape_target,paalam_profile_4f073c39d6e5,paalam,paalam_profile_4f073c39d6e5,missing_source,Source section exists but no valid external URL was extracted; raw href appears malformed as Arthur Abdul,medium,Yani,needs_follow_up,Source section present but no valid external URL extracted (malformed). Not extracted. Needs manual source check or re-scrape.,2026-06-02T17:40:24.848Z,
rev_paalam_profile_a9bd327daf7a_date,ai_extraction,paalam_profile_a9bd327daf7a,paalam,paalam_profile_a9bd327daf7a,date_conflict,Date conflict between Paalam incident details and source excerpt,high,Yani,needs_follow_up,"SENSITIVE: 16-year-old; family alleges he was handcuffed and shot. Date discrepancy too (source June 16, 2021 vs profile June 17). Needs your review.",2026-06-03T14:52:08+08:00,
rev_paalam_profile_5a11662b42d1_name,ai_extraction,paalam_profile_5a11662b42d1,paalam,paalam_profile_5a11662b42d1,name_review,Source excerpt gives a fuller name than the Paalam page title,medium,Yani,resolved,Canonical name corrected to 'Dominic Estillore Yabut' per source; recorded in manual_fixes.csv.,2026-06-03T14:52:08+08:00,2026-06-04T06:30:55Z
rev_paalam_profile_4f984dd14e90_name,ai_extraction,paalam_profile_4f984dd14e90,paalam,paalam_profile_4f984dd14e90,name_review,Source excerpt gives a fuller name than the Paalam page title,medium,Yani,resolved,Canonical name corrected to 'Jesus Valino Pelmoka' per source; recorded in manual_fixes.csv.,2026-06-03T14:52:08+08:00,2026-06-04T06:30:55Z
rev_paalam_profile_12f786cd33f0_name,ai_extraction,paalam_profile_12f786cd33f0,paalam,paalam_profile_12f786cd33f0,name_review,Profile URL slug appears truncated while page title and excerpt say Epifanio Alicando,medium,Yani,resolved,Name 'Epifanio Alicando' confirmed by source and page title; only the URL slug was truncated. No change needed.,2026-06-03T14:52:08+08:00,2026-06-04T06:30:55Z
rev_paalam_profile_9acc370d801b_name,ai_extraction,paalam_profile_9acc370d801b,paalam,paalam_profile_9acc370d801b,name_review,Source excerpt uses alias Kareem while Paalam page title gives Kareem Usop Abedin,medium,Yani,resolved,Full name 'Kareem Usop Abedin' retained from Paalam page title; linked news supports only alias 'Kareem'. Acceptable for now; re-verify sourcing before public naming.,2026-06-03T14:52:08+08:00,2026-06-04T06:30:55Z
rev_paalam_profile_a08d13c4f33d_location,ai_extraction,paalam_profile_a08d13c4f33d,paalam,paalam_profile_a08d13c4f33d,location_conflict,Location conflict between Paalam incident details and source excerpt,high,Yani,resolved,Incident location corrected to Muntinlupa City per source (profile said Manila); recorded in manual_fixes.csv.,2026-06-03T14:52:08+08:00,2026-06-04T06:30:55Z
rev_paalam_profile_d263ee6c1e25_location,ai_extraction,paalam_profile_d263ee6c1e25,paalam,paalam_profile_d263ee6c1e25,location_conflict,Location conflict between Paalam incident details and source excerpt,high,Yani,resolved,Incident location corrected to Muntinlupa City per source (profile said Manila); recorded in manual_fixes.csv.,2026-06-03T14:52:08+08:00,2026-06-04T06:30:55Z
rev_paalam_profile_159ca7bf7ae7_location_conflict,ai_extraction,paalam_profile_159ca7bf7ae7,paalam,paalam_profile_159ca7bf7ae7,location_conflict,"Incident location corrected to Balayan, Batangas per source (profile said Lucena, Laguna); recorded in manual_fixes.csv.",medium,Yani,resolved,"Incident location corrected to Balayan, Batangas per source (profile said Lucena, Laguna); recorded in manual_fixes.csv.",2026-06-04T06:30:55Z,2026-06-04T06:30:55Z
rev_paalam_profile_486e9898fce9_location_conflict,ai_extraction,paalam_profile_486e9898fce9,paalam,paalam_profile_486e9898fce9,location_conflict,"Incident location corrected to Pili, Camarines Sur per source (profile listed home city Iriga); alias-only name left null; recorded in manual_fixes.csv.",medium,Yani,resolved,"Incident location corrected to Pili, Camarines Sur per source (profile listed home city Iriga); alias-only name left null; recorded in manual_fixes.csv.",2026-06-04T06:30:55Z,2026-06-04T06:30:55Z
rev_paalam_profile_bc8134e0fae6_location_review,ai_extraction,paalam_profile_bc8134e0fae6,paalam,paalam_profile_bc8134e0fae6,location_review,"Incident location (General Mariano Alvarez, Cavite) is source-derived (not in Paalam structured fields); accepted at city precision.",medium,Yani,resolved,"Incident location (General Mariano Alvarez, Cavite) is source-derived (not in Paalam structured fields); accepted at city precision.",2026-06-04T06:30:55Z,2026-06-04T06:30:55Z
rev_paalam_profile_af2927b62cf6_context_review,ai_extraction,paalam_profile_af2927b62cf6,paalam,paalam_profile_af2927b62cf6,context_review,"Incident location San Ildefonso, Bulacan confirmed; the Pasay City passage is prior-arrest context, not this killing.",medium,Yani,resolved,"Incident location San Ildefonso, Bulacan confirmed; the Pasay City passage is prior-arrest context, not this killing.",2026-06-04T06:30:55Z,2026-06-04T06:30:55Z
rev_paalam_profile_7c9868051fd6_gender_missing,ai_extraction,paalam_profile_7c9868051fd6,paalam,paalam_profile_7c9868051fd6,gender_missing,Gender not in Paalam structured fields; left 'unknown'. Otherwise well-supported.,medium,Yani,resolved,Gender not in Paalam structured fields; left 'unknown'. Otherwise well-supported.,2026-06-04T06:30:55Z,2026-06-04T06:30:55Z
